,허브솔트,신라면,쌈장,친환경 접시 14cm,대여료 30000원,잔디그늘집 의자 추가,참이슬 단체,BBQ55단체,콜라 단체,일회용 종이컵,1인 수저세트,잔디그늘집 대여료 6인석,친환경 접시 23cm,스프라이트 단체,쌈야채세트,카스 병단체,햇반,본삼겹 단품실내,육개장 사발면,잔디그늘집 대여료 12인석,대여료 60000원,일회용 소주컵,대여료 90000원
1인 수저세트,0.4459214514680735,0.2982974097440792,0.416771536934687,0.556021271852577,0.5025713809131489,0.3711750223254768,-0.07494803340820641,-0.09106793085510693,-0.0570772058745788,0.6348792127264837,1.0,0.5315009228173705,0.6659100521102875,-0.03784793937141125,0.38806371669267026,-0.0853860049815191,0.5033167999628565,0.2850969192598837,0.2793393437839436,0.39198308602357396,0.3679635758221139,0.48595341259955016,0.2638688158211145
잔디그늘집 대여료 6인석,0.4930804882852472,0.6443805255909295,0.5449608427409574,0.41265802040578653,0.47742756617133475,0.6457332773890143,0.030630625899947597,0.015599227320615562,0.045441001739335164,0.48402128180381787,0.5315009228173705,1.0,0.5562241408459874,0.050332482797045636,0.4151653719313458,0.012498260350192589,0.5985760717600044,0.046661894204947325,0.38400829160318506,0.6871697849820491,0.3428382362845886,0.3645315133873073,0.304478556571594
친환경 접시 23cm,0.4944963411082068,0.34013681060132,0.47911215208783875,0.47916163197273365,0.5294214145210949,0.5121509828869035,-0.10133462327770523,-0.1400140207241592,-0.0914185309405476,0.6533109308668051,0.6659100521102875,0.5562241408459874,1.0,-0.07251196990722654,0.3231276101886406,-0.10865609137238116,0.5278652384121713,0.20004712247565504,0.27174702768188586,0.40308503510783356,0.4338103956360241,0.44842660632822406,0.30538324146943047
스프라이트 단체,0.002072722723867917,-0.02475120617734802,-0.09177880743430882,-0.13693851763387116,-0.3114500593851995,0.03608665079600256,0.8557377959053527,0.78883264224805,0.9600084135672883,-0.09788081565850099,-0.03784793937141125,0.050332482797045636,-0.07251196990722654,1.0,0.01731484316965491,0.888089683534124,-0.013981297181998007,-0.09407607108332873,-0.07661954602940234,0.04791713661802468,-0.2507709259881439,-0.030700437925043747,-0.20861151342056175
쌈야채세트,0.3373304184965108,0.37411227768317984,0.3438137360954235,0.30187928722757945,0.38705432877419754,0.3217501934248159,0.02085097373798978,0.01898392981026353,0.010177732702144943,0.3613310732541721,0.38806371669267026,0.4151653719313458,0.3231276101886406,0.01731484316965491,1.0,0.02895480348515183,0.44687278204629144,0.5035542083222643,0.3005654194194693,0.3190988327856546,0.24481418759955692,0.2931893181824566,0.19472738441683712
카스 병단체,-0.0294741836137036,-0.06149498380321427,-0.1208246782972981,-0.16861065770894526,-0.34508568296011566,0.0023070687881839532,0.9068725475933818,0.8350011201809514,0.8869529162631071,-0.12580005876059575,-0.0853860049815191,0.012498260350192589,-0.10865609137238116,0.888089683534124,0.02895480348515183,1.0,-0.03111998781087954,-0.11663746942521619,-0.10553966312361734,0.04168209782113093,-0.2817686417446655,-0.052585431273092606,-0.2270715870583176
햇반,0.4531071821003501,0.5797120600994783,0.4984629997831278,0.5126353452451715,0.4307396886511574,0.4993969463548315,-0.03709713824649791,-0.06261081417522954,-0.015674220406567307,0.48389305031049124,0.5033167999628565,0.5985760717600044,0.5278652384121713,-0.013981297181998007,0.44687278204629144,-0.03111998781087954,1.0,0.19056736453409714,0.3617868509249689,0.492930790996636,0.3776999193210872,0.39761803023744013,0.22620651330318028
본삼겹 단품실내,0.211791382919165,0.07243723240401116,0.21671627605367,0.2406372973194558,0.30337083462293335,0.14624047932343595,-0.10975813827876627,-0.10932060408874181,-0.09167822526623196,0.20304988717086836,0.2850969192598837,0.046661894204947325,0.20004712247565504,-0.09407607108332873,0.5035542083222643,-0.11663746942521619,0.19056736453409714,1.0,0.25644101617082626,0.021848757892481006,0.23787179261335956,0.21680142384811332,0.26269521091709785
육개장 사발면,0.3626099685812509,0.22722961361694835,0.30762845360598434,0.2623453480127496,0.4235064159179023,0.27157151472104596,-0.0937742786021543,-0.11057592214809335,-0.07092311342128027,0.24178472177636018,0.2793393437839436,0.38400829160318506,0.27174702768188586,-0.07661954602940234,0.3005654194194693,-0.10553966312361734,0.3617868509249689,0.25644101617082626,1.0,0.3117113922265947,0.4110721612499199,0.3122564458353102,0.32599141012724403
잔디그늘집 대여료 12인석,0.3698992560376449,0.5592985943392618,0.36390061455561423,0.3258090911684571,0.3491356447956078,0.5865379703922753,0.039625515078149584,0.03496101436098585,0.04830404104293386,0.3611403453591403,0.39198308602357396,0.6871697849820491,0.40308503510783356,0.04791713661802468,0.3190988327856546,0.04168209782113093,0.492930790996636,0.021848757892481006,0.3117113922265947,1.0,0.25327267677207843,0.2609784216533259,0.20940369705173004
대여료 60000원,0.33899215909407054,0.26056834914100013,0.3492549528934487,0.4425905578933038,0.6950398973617408,0.3388313697917303,-0.26592464741099164,-0.3158230203665727,-0.25806976038629714,0.4371225851362413,0.3679635758221139,0.3428382362845886,0.4338103956360241,-0.2507709259881439,0.24481418759955692,-0.2817686417446655,0.3776999193210872,0.23787179261335956,0.4110721612499199,0.25327267677207843,1.0,0.38889422043659155,0.4488130147800859
일회용 소주컵,0.3329910274701587,0.27072857802520806,0.3423140556105191,0.3756284415086891,0.3755100859225474,0.2684935362581033,-0.052644548732503814,-0.07289540319855765,-0.029406909576992872,0.48859545395223086,0.48595341259955016,0.3645315133873073,0.44842660632822406,-0.030700437925043747,0.2931893181824566,-0.052585431273092606,0.39761803023744013,0.21680142384811332,0.3122564458353102,0.2609784216533259,0.38889422043659155,1.0,0.24970744033110026
대여료 90000원,0.34614111299477685,0.25464491614367607,0.35880723074998844,0.3124698177457295,0.4485243748575299,0.2764223577005206,-0.21094575434164228,-0.22632169587121342,-0.20897786780272806,0.2551481867164659,0.2638688158211145,0.304478556571594,0.30538324146943047,-0.20861151342056175,0.19472738441683712,-0.2270715870583176,0.22620651330318028,0.26269521091709785,0.32599141012724403,0.20940369705173004,0.4488130147800859,0.24970744033110026,1.0
