,브런치 4인 패키지,코카콜라,잭 애플 토닉,오븐구이 윙과 킬바사소세지,애플망고 에이드,스텔라무제한,화덕 불고기 페퍼로니 반반피자,브런치대인 주말,보일링 랍스타 플래터덜매운맛,BBQ Platter,버드와이저무제한,파스타면 추가150g,브런치어린이,레인보우칵테일알코올,유자 하이볼,공깃밥,핑크레몬에이드,BBQ 고기추가,콥 샐러드,쉬림프 투움바 파스타,칠리 치즈 프라이,얼그레이 하이볼,글라스와인 레드,오븐 하와이안 쉬림프 피자,코카콜라제로,미라시아 브런치 패키지,보일링 랍스타 플래터,브런치 2인 패키지,단체브런치주중 36000,브런치대인 주중,스프라이트
버드와이저무제한,0.08686037132142958,0.4736426830821802,0.2385354772770856,0.42301494183366584,0.34238011346053426,0.5086209858653568,0.5707039885126423,0.39846193052908746,0.42859913178975073,0.5522704919231148,1.0,0.43215937359872825,0.35243549857939904,0.25778884566466426,0.37139287148311306,-0.08525218948914548,0.46383366778846175,0.19192666991737853,0.2639954449344431,0.6462580109971989,0.5192996054675365,0.27971628462217185,0.15837633972383952,0.30999023932150094,0.40926282658044244,0.10350064954634335,0.47647796547486726,0.060146919441764916,-0.15577565344078986,0.006697387086881962,0.49560982081002375
파스타면 추가150g,0.06783608360911889,0.42272560158061745,0.2370351771074167,0.18044506575276123,0.3564365098084137,0.3951440091846905,0.3770001370754371,0.35558144134981295,0.5783500525118405,0.41406877437004036,0.43215937359872825,1.0,0.26094749569926023,0.21036241960890545,0.22786910869100443,-0.03337636473559129,0.454888998929549,0.19727664006538334,0.3770179824523193,0.5273029952366358,0.4194210857531378,0.2790201262380696,0.15425908255380436,0.3345333673347536,0.3265976838385644,0.046929695733281485,0.5473104719634707,0.022618685588637236,-0.13489061163247915,-0.09208285995550389,0.3979992655787518
브런치어린이,0.10286522058235158,0.3557387325379854,0.2130548289339025,0.1675771336975379,0.34687048859010466,0.27849615832076574,0.2997255011120909,0.6558054365930905,0.23568920501653304,0.3111860435430004,0.35243549857939904,0.26094749569926023,1.0,0.17663957170935424,0.1041265078719484,-0.04705393866492726,0.3285414843237489,0.08991095602521418,0.3466091487033626,0.4055599711197178,0.3042696781898365,0.09290066260507887,0.05104430023382191,0.42067763247595596,0.29269662527328155,0.14088047254119257,0.23265551576419624,0.07685204535430333,-0.2898720103044163,0.12943610222751958,0.29307551311002206
레인보우칵테일알코올,0.10267166082535993,0.22024196184236766,0.15022627933042837,0.213684873221636,0.39922778898674466,0.17615489681640373,0.3546337045461054,0.14687309629791218,0.17869298499940373,0.3810984255802931,0.25778884566466426,0.21036241960890545,0.17663957170935424,1.0,0.24181098092934586,0.09398510316041271,0.3036291033481306,0.1846103231331709,0.18228778308429341,0.32662964414203094,0.2676725747687578,0.3333127810551167,0.10198757896371603,0.1379953239367531,0.1528904726694255,0.06506694902411268,0.2718538212973227,0.08598449517601174,-0.08611296755450054,-0.034678598410508576,0.18692135525892853
유자 하이볼,0.029480906121960918,0.23470181843614715,0.13305084115457927,0.2636346268861352,0.22326969111846132,0.2526129753526139,0.2780454278927456,0.12882914517908314,0.2816969227851628,0.31876079362807996,0.37139287148311306,0.22786910869100443,0.1041265078719484,0.24181098092934586,1.0,-0.11332394263813679,0.3414941588242602,0.12220644555281988,0.11377521042903668,0.34777247867649674,0.26464642386885057,0.3108117227463332,0.010683422080821627,0.13402888437024502,0.13356614636840572,0.04706289582848242,0.3221201153504704,0.013998656355461521,-0.011490579060083803,0.06203109662744976,0.17643043292321328
공깃밥,0.13788085836238076,-0.0749963553235409,0.02931516929337705,0.09563365672289756,0.19901021930851195,-0.09058606552331482,0.22065330742655653,0.03418341191953707,-0.023433751668640784,0.32761981811412144,-0.08525218948914548,-0.03337636473559129,-0.04705393866492726,0.09398510316041271,-0.11332394263813679,1.0,-0.13236090912282583,0.11075174437468047,0.10158584771123473,-0.09607844004002501,-0.09708382603746964,0.14625478531531697,0.19358419133885704,-0.028009165567150784,-0.06830527558950913,0.16257023821959765,-0.06194135199952132,0.1801327178380372,-0.13820201266533078,-0.16600255097833871,-0.06875391839604031
핑크레몬에이드,0.06354656599606774,0.4783105929114154,0.2528949820476021,0.3165059852920313,0.4647986057343833,0.37497682668192,0.425868799906141,0.2682805936545402,0.4086758062369501,0.47711736997785087,0.46383366778846175,0.454888998929549,0.3285414843237489,0.3036291033481306,0.3414941588242602,-0.13236090912282583,1.0,0.2444035874666906,0.25596931441979065,0.5690406770747769,0.44230238598617033,0.31096338222885,0.21684338674214182,0.37854841779853854,0.4276813015208858,0.1069864132333183,0.44022368849000515,0.02512827425005032,-0.07663381511261329,0.01917026096727133,0.41882414195714673
BBQ 고기추가,0.06424719663700981,0.20148528857848577,0.14620163896931415,0.19875598587149587,0.26050224934134547,0.16604105386712636,0.283684718278116,0.13799051230850135,0.1220856978834494,0.3369858200571489,0.19192666991737853,0.19727664006538334,0.08991095602521418,0.1846103231331709,0.12220644555281988,0.11075174437468047,0.2444035874666906,1.0,0.1399502878405353,0.21198128452014056,0.1252234736340925,0.17524747356957918,0.19763864127217876,0.18414279561085597,0.1057000221893233,0.08254458970894968,0.16826936426443176,0.05463531271576566,-0.04234897724348585,0.01506495128285167,0.1431626577708803
콥 샐러드,-0.05924349467853536,0.3586980954994803,0.2819855864410257,0.181194955291334,0.42202675154763636,0.36110752930102785,0.28976279828013424,0.25098089543505386,0.30050809781183,0.26135015869269823,0.2639954449344431,0.3770179824523193,0.3466091487033626,0.18228778308429341,0.11377521042903668,0.10158584771123473,0.25596931441979065,0.1399502878405353,1.0,0.39173452474403664,0.344964052151598,0.11313784903512725,0.01351227338238846,0.3911759763807488,0.211756669352394,-0.1539044043662332,0.29294245674121805,-0.06239229279739775,-0.0930550430054121,0.02817712976649432,0.2637583492052737
쉬림프 투움바 파스타,0.07677674715331585,0.5783982959751709,0.28309232026434095,0.3593117938720755,0.5181750758810644,0.5402184433317634,0.5347815305270728,0.3698302314186653,0.4843030150175076,0.5587876773285395,0.6462580109971989,0.5273029952366358,0.4055599711197178,0.32662964414203094,0.34777247867649674,-0.09607844004002501,0.5690406770747769,0.21198128452014056,0.39173452474403664,1.0,0.6008302479018093,0.2823812083402466,0.17219688132470579,0.4391274575830468,0.48018767996088546,0.06340183707151287,0.5568163724128514,0.026392576030570124,-0.12970454648127183,0.04415903751645259,0.5658537775676732
칠리 치즈 프라이,0.07179774501101414,0.44022741146092675,0.2643090256817594,0.3456592512753244,0.4000143548932718,0.5240663532705899,0.48570509146269897,0.2864415617721964,0.4277726207730556,0.415123657893118,0.5192996054675365,0.4194210857531378,0.3042696781898365,0.2676725747687578,0.26464642386885057,-0.09708382603746964,0.44230238598617033,0.1252234736340925,0.344964052151598,0.6008302479018093,1.0,0.27289044088404113,0.13607886732788912,0.39342352219005206,0.31647270870914523,0.03199568252940637,0.4717642500129687,0.021392891810542047,-0.04127821085861994,0.07777101723635702,0.4238765425606434
얼그레이 하이볼,0.08061181865914843,0.2865914722861568,0.06245920503910287,0.2885626999156164,0.41978115560153306,0.17658902015585792,0.48395611082683493,0.13831807130801907,0.30145303813079904,0.5392444084590319,0.27971628462217185,0.2790201262380696,0.09290066260507887,0.3333127810551167,0.3108117227463332,0.14625478531531697,0.31096338222885,0.17524747356957918,0.11313784903512725,0.2823812083402466,0.27289044088404113,1.0,0.24698425049709932,0.09031048740344132,0.14353365270317575,0.08395030833856464,0.1501189502178244,0.09102059316257324,-0.141546691230069,-0.09701094515052805,0.2437673659347862
글라스와인 레드,0.14306401240932304,0.09911445971973395,0.0735269879372719,0.2182576380986831,0.2720362155956613,0.08721132862475213,0.3426349418696087,0.12270776267663297,0.10389786690583497,0.33686702307203037,0.15837633972383952,0.15425908255380436,0.05104430023382191,0.10198757896371603,0.010683422080821627,0.19358419133885704,0.21684338674214182,0.19763864127217876,0.01351227338238846,0.17219688132470579,0.13607886732788912,0.24698425049709932,1.0,0.10416659460939673,0.10573317943780645,0.125499131024715,0.13752678214086284,0.03001867212184179,-0.03958324401062667,-0.052016552741423146,0.10199342534474587
오븐 하와이안 쉬림프 피자,-0.03877052829754941,0.3733111435408652,0.3217311942934315,0.3589769394857905,0.3851445023100525,0.306702976395666,0.2904257901310287,0.284364544278827,0.2954747368924783,0.31052799107351897,0.30999023932150094,0.3345333673347536,0.42067763247595596,0.1379953239367531,0.13402888437024502,-0.028009165567150784,0.37854841779853854,0.18414279561085597,0.3911759763807488,0.4391274575830468,0.39342352219005206,0.09031048740344132,0.10416659460939673,1.0,0.2902780285671926,0.03120814653380632,0.38159034155144317,0.002148500059290465,-0.004681839138690519,0.17968459437863343,0.2955249481844247
코카콜라제로,0.0410030131891406,0.3732464453954559,0.2236238622248215,0.2431827055786772,0.27181315830137853,0.27101492169654484,0.3261135750872873,0.24248987038790082,0.28920740306866144,0.33580552048813556,0.40926282658044244,0.3265976838385644,0.29269662527328155,0.1528904726694255,0.13356614636840572,-0.06830527558950913,0.4276813015208858,0.1057000221893233,0.211756669352394,0.48018767996088546,0.31647270870914523,0.14353365270317575,0.10573317943780645,0.2902780285671926,1.0,0.14577139100804548,0.36357102455524715,0.018466438460567593,-0.08850421762656296,0.05955417023316598,0.37782278798607477
미라시아 브런치 패키지,0.24034202235947094,0.05660983242665043,0.0012558577811846742,0.13932901530923067,0.10667576583023634,0.08216869432072578,0.17059249355628026,0.07535875457720483,0.05087691277710279,0.2728221662236745,0.10350064954634335,0.046929695733281485,0.14088047254119257,0.06506694902411268,0.04706289582848242,0.16257023821959765,0.1069864132333183,0.08254458970894968,-0.1539044043662332,0.06340183707151287,0.03199568252940637,0.08395030833856464,0.125499131024715,0.03120814653380632,0.14577139100804548,1.0,0.09780553472995339,0.12388933431802898,-0.011060436642463527,0.13223073355563897,-0.002430957279278947
보일링 랍스타 플래터,0.028667433267410624,0.4055775884248008,0.20656333893365547,0.3012857794193275,0.4198213058639464,0.5167957371539522,0.3936591350561915,0.2367521771531651,0.38294741774301627,0.35108879516155744,0.47647796547486726,0.5473104719634707,0.23265551576419624,0.2718538212973227,0.3221201153504704,-0.06194135199952132,0.44022368849000515,0.16826936426443176,0.29294245674121805,0.5568163724128514,0.4717642500129687,0.1501189502178244,0.13752678214086284,0.38159034155144317,0.36357102455524715,0.09780553472995339,1.0,0.01652018070125676,-0.07522635235270174,0.09720281895155565,0.40730089995839686
브런치 2인 패키지,0.14643519133777452,0.013282611561698542,0.0011623969223151355,0.05100810094121393,0.09275074988135704,0.024221465126578114,0.11299255642982495,0.027943473528689564,0.007582862958672976,0.19771695489415303,0.060146919441764916,0.022618685588637236,0.07685204535430333,0.08598449517601174,0.013998656355461521,0.1801327178380372,0.02512827425005032,0.05463531271576566,-0.06239229279739775,0.026392576030570124,0.021392891810542047,0.09102059316257324,0.03001867212184179,0.002148500059290465,0.018466438460567593,0.12388933431802898,0.01652018070125676,1.0,-0.09626891348657377,0.02401639932731364,0.02278271118823081
단체브런치주중 36000,-0.05510025548042634,-0.1212913411276813,0.03626946982106496,-0.08540330280333276,-0.16643798879390756,-0.08364495035363152,-0.20132713883895,-0.3256084423784497,-0.12912271658473382,-0.20034927834376712,-0.15577565344078986,-0.13489061163247915,-0.2898720103044163,-0.08611296755450054,-0.011490579060083803,-0.13820201266533078,-0.07663381511261329,-0.04234897724348585,-0.0930550430054121,-0.12970454648127183,-0.04127821085861994,-0.141546691230069,-0.03958324401062667,-0.004681839138690519,-0.08850421762656296,-0.011060436642463527,-0.07522635235270174,-0.09626891348657377,1.0,0.19393064761230489,-0.08512222724487942
브런치대인 주중,0.023857326436934338,0.06063620256045618,0.04987510926816288,0.06972986214524021,-0.051482799130337493,0.04933859668024203,-0.1436684488859204,-0.44300740962017154,-0.03904817473918601,-0.11371033262777602,0.006697387086881962,-0.09208285995550389,0.12943610222751958,-0.034678598410508576,0.06203109662744976,-0.16600255097833871,0.01917026096727133,0.01506495128285167,0.02817712976649432,0.04415903751645259,0.07777101723635702,-0.09701094515052805,-0.052016552741423146,0.17968459437863343,0.05955417023316598,0.13223073355563897,0.09720281895155565,0.02401639932731364,0.19393064761230489,1.0,-0.004626305355288337
스프라이트,0.04016158810490438,0.5259837153990372,0.16497119877701158,0.2772928791647107,0.3331627427749329,0.3680706284184083,0.43932581890141564,0.303385947460608,0.3432360442147309,0.39644242823113,0.49560982081002375,0.3979992655787518,0.29307551311002206,0.18692135525892853,0.17643043292321328,-0.06875391839604031,0.41882414195714673,0.1431626577708803,0.2637583492052737,0.5658537775676732,0.4238765425606434,0.2437673659347862,0.10199342534474587,0.2955249481844247,0.37782278798607477,-0.002430957279278947,0.40730089995839686,0.02278271118823081,-0.08512222724487942,-0.004626305355288337,1.0
